businessname,dbaname,legalowner,namelast,namefirst,licenseno,issdttm,expdttm,licstatus,licensecat,descript,result,resultdttm,violation,viollevel,violdesc,violdttm,violstatus,statusdate,comments,address,city,state,zip,property_id,location
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-02-15 12:19:42,15-4-202.16,*,Non-Food Contact Surfaces,2013-02-15 12:19:42,Fail,,Provide glass storage rack.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-02-15 12:19:42,16-4-501.11/.15,*,Dishwashng Facilities,2013-02-15 12:19:42,Fail,,Provide dish rack over 3 bay sink to replace missing drainboards at each end of  3 bay sink.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-02-15 12:19:42,16-4-501.11/.15,*,Dishwashng Facilities,2013-02-15 12:19:42,Fail,,Provide dish washer at ware washing area.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-02-15 12:19:42,29-5-201/02.11,*,Installed and Maintained,2013-02-15 12:19:42,Fail,,Provide mop sink at basement.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-02-15 12:19:42,31-5-204/05.11,***,Location  Accessible,2013-02-15 12:19:42,Fail,,No hand sink at Bar Area  provide.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-02-15 12:19:42,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,2013-02-15 12:19:42,Fail,,Provide door and finish miscellaneous storage room.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-03-21 14:48:33,16-4-501.11/.15,*,Dishwashng Facilities,2013-03-21 14:48:33,Fail,,Provide dish washer at ware washing area.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-10-24 11:18:12,05-4-302.12,*,Food Thermometers Provided,2013-10-24 11:18:12,Fail,,Provide chefs thermometer for monitoring food temperatures.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-10-24 11:18:12,14-4-202.11,*,Food Contact Surfaces Design,2013-10-24 11:18:12,Fail,,Replace heavily scorded cutting board.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-10-24 11:18:12,16-4-501.11/.15,*,Dishwashng Facilities,2013-10-24 11:18:12,Fail,,Dishmachine not operating  repair.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
